model,match_method,N,k,k_label,R,matched_R,seed,D,phi_mean,phi_std,chi,sdot,J,mean_degree,mean_kth_dist
topological,count,2048,3,k=3,,0.5063,0,0.005,0.6794050335884094,0.0492599681019783,4.969563007354736,2.1639904975891113,0.43544885516166687,3.0,0.4410237669944763
metric,count,2048,3,k=3,0.5063,0.5063,0,0.005,0.8616970777511597,0.044744886457920074,4.100310802459717,2.050339698791504,0.5000449419021606,10.077089309692383,
topological,count,2048,3,k=3,,0.5063,1,0.005,0.646115243434906,0.04739861562848091,4.601095676422119,2.184525728225708,0.4747838079929352,3.0,0.40445631742477417
metric,count,2048,3,k=3,0.5063,0.5063,1,0.005,0.8473794460296631,0.013176479376852512,0.35557296872138977,2.0320470333099365,5.714852333068848,5.240283012390137,
topological,count,2048,3,k=3,,0.5063,2,0.005,0.49143722653388977,0.07080896943807602,10.268487930297852,2.265664577484131,0.22064247727394104,3.0,0.38530921936035156
metric,count,2048,3,k=3,0.5063,0.5063,2,0.005,0.750975489616394,0.08869759738445282,16.11215591430664,2.050119161605835,0.12724052369594574,7.284511566162109,
topological,count,2048,3,k=3,,0.5063,3,0.005,0.6498738527297974,0.01647266559302807,0.555722177028656,2.1751670837402344,3.9141268730163574,3.0,0.4222323000431061
metric,count,2048,3,k=3,0.5063,0.5063,3,0.005,0.8577767014503479,0.01998322270810604,0.8178262710571289,2.043905735015869,2.4991931915283203,5.388466835021973,
topological,count,2048,3,k=3,,0.5063,4,0.005,0.6841809153556824,0.04733041673898697,4.587864875793457,2.1688332557678223,0.4727325737476349,3.0,0.43402841687202454
metric,count,2048,3,k=3,0.5063,0.5063,4,0.005,0.820949137210846,0.055017776787281036,6.19920539855957,2.041882276535034,0.32937806844711304,7.362372875213623,
topological,count,2048,3,k=3,,0.5063,5,0.005,0.45187902450561523,0.01992323249578476,0.81292325258255,2.2840750217437744,2.8097054958343506,3.0,0.38807976245880127
metric,count,2048,3,k=3,0.5063,0.5063,5,0.005,0.862533450126648,0.014854669570922852,0.4519141614437103,2.035616159439087,4.504430770874023,5.411093711853027,
topological,count,2048,3,k=3,,0.5063,6,0.005,0.5723269581794739,0.0355757437646389,2.592017650604248,2.2152090072631836,0.854627251625061,3.0,0.4002480208873749
metric,count,2048,3,k=3,0.5063,0.5063,6,0.005,0.8259171843528748,0.035754915326833725,2.618191719055176,2.035438060760498,0.7774213552474976,7.164101600646973,
topological,count,2048,3,k=3,,0.5063,7,0.005,0.658194899559021,0.033516526222229004,2.3006365299224854,2.179502010345459,0.9473474025726318,3.0,0.4204230308532715
metric,count,2048,3,k=3,0.5063,0.5063,7,0.005,0.8646090030670166,0.021895287558436394,0.981818675994873,2.038540840148926,2.0762903690338135,7.569775104522705,
